id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
17005509,2017-02-10 00:27:00,CFIRE-Car Fire,37.348045,-122.059783,132.0,407341,0.36985681374422097
17005571,2017-02-10 02:01:00,1183-Trfc Collision-Unkn Inj,37.362555,-121.887836,27.0,400109,0.1772840974856331
17005592,2017-02-10 02:27:00,1183-Trfc Collision-Unkn Inj,37.343256,-121.846985,76.0,407173,0.17739210018988524
17005736,2017-02-10 05:52:00,1183-Trfc Collision-Unkn Inj,37.421143,-122.092497,2.0,401507,1.7181097628844675
17005773,2017-02-10 06:17:00,FIRE-Report of Fire,37.388346,-121.867271,5.0,407155,0.49230613584808364
17005775,2017-02-10 06:14:00,1125-Traffic Hazard,37.314034,-121.827058,3.0,402359,2.413129716905931
17005857,2017-02-10 06:53:00,1183-Trfc Collision-Unkn Inj,37.451414,-121.893021,1.0,407184,2.8153898952100374
17005928,2017-02-10 07:19:00,1125A-Animal Hazard,37.317202,-121.94032,49.0,407711,0.13213518512889452
17006020,2017-02-10 07:57:00,1183-Trfc Collision-Unkn Inj,37.303185,-121.87808,182.0,400837,0.01937641638701232
17006068,2017-02-10 08:20:00,1182-Trfc Collision-No Inj,37.29049,-121.871134,22.0,400257,0.15471863123140983
17006175,2017-02-10 09:01:00,1125-Traffic Hazard,37.257224,-121.954613,6.0,400240,0.13591042344122886
17006209,2017-02-10 09:25:00,1182-Trfc Collision-No Inj,37.355891,-121.909472,7.0,401440,0.12755097854898295
17006269,2017-02-10 09:56:00,1183-Trfc Collision-Unkn Inj,37.370806,-121.913134,39.0,400863,0.39518283852547315
17006270,2017-02-10 09:55:00,1183-Trfc Collision-Unkn Inj,37.370806,-121.913134,81.0,400863,0.39518283852547315
17006280,2017-02-10 10:01:00,BREAK-Traffic Break,37.336255,-121.897579,23.0,402057,0.016303024627301536
